sym,ts,lp,bid_price,bid_quantity,ask_price,ask_quantity
EUR/AUD,2018-12-06T13:00:00.620Z,LP7,1575840,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.620Z,LP3,1575890,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.620Z,LP5,1575840,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.620Z,LP6,1575890,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.620Z,LP2,1575880,100000000,1576110,100000000
EUR/AUD,2018-12-06T13:00:00.625Z,LP0,1575800,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.642Z,LP2,1575860,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.644Z,LP7,1575830,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.644Z,LP3,1575880,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.644Z,LP5,1575830,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.644Z,LP4,1575870,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.644Z,LP6,1575890,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.695Z,LP7,1575840,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.695Z,LP4,1575880,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.695Z,LP3,1575890,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.695Z,LP5,1575840,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.695Z,LP6,1575890,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.695Z,LP2,1575880,100000000,1576110,100000000
EUR/AUD,2018-12-06T13:00:00.707Z,LP0,1575840,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.710Z,LP1,1575920,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.710Z,LP8,1575890,100000000,1576070,100000000
EUR/CAD,2018-12-06T13:18:37.676Z,LP4,1523140,100000000,1523370,100000000
EUR/CAD,2018-12-06T13:18:37.676Z,LP5,1523080,100000000,1523380,100000000
EUR/CAD,2018-12-06T13:18:37.676Z,LP5,1523090,100000000,1523380,100000000
EUR/CAD,2018-12-06T13:18:37.676Z,LP7,1523090,100000000,1523450,100000000
